claim_id,policy_number,claimant_name,claimant_email,claimant_phone,claim_type,claim_date,description,claimed_amount,assessed_amount,status,settlement_date,assessor
CLM-245095,RAA-258157,Ellen Alexander,jessica14@example.com,0439 492 810,Theft,30/07/2025,Cupiditate consequatur molestiae voluptas minus totam rerum ducimus repudiandae laboriosam rem quia excepturi.,53128.23,,Paid,08-16-2025,Victor Taylor
CLM-973349,RAA-540552,Misty Whitney,christopher60@example.com,0459 888 698,Liability,21/09/2024,Commodi fuga quibusdam ea fugit odit fuga perferendis iusto nulla velit eveniet nostrum officia odio.,1955.13,34626.28,Paid,,
CLM-976325,RAA-539375,Elizabeth Ortiz,brandonjohnson@example.com,0478 865 852,Fire,25/03/2025,Atque suscipit consequatur iste perferendis quia veniam in.,,29396.12,Approved,07-19-2025,Brittany Perry
CLM-936912,RAA-523956,Lisa Crosby,antonio53@example.com,0431 960 578,Theft,14/06/2024,Veritatis sequi aut placeat molestias voluptate facere id deleniti commodi sed iste optio.,,54434.35,Declined,09-15-2024,Linda Smith
CLM-584125,RAA-290556,William Buchanan,caseyhubbard@example.org,0416 366 488,Water Damage,01/12/2025,Dolor sit eveniet corporis tempore a similique corporis consectetur dolorum cupiditate optio ad accusamus ratione dolores.,16268.69,45721.54,Paid,12-25-2025,Christopher Williams
CLM-185884,RAA-593152,Brian Brown,gstrickland@example.net,0412 867 652,Property Damage,27/10/2025,Iste dolore nostrum quas tenetur omnis error officia.,,39078.62,Withdrawn,02-17-2026,
CLM-979995,RAA-121369,John Morales,henryrenee@example.org,0489 256 344,Theft,23/04/2024,Eum corporis commodi numquam nesciunt quae fugit nisi.,35780.3,,Under Assessment,,Jonathan Jordan
CLM-736745,RAA-884256,Sarah Curtis,russellbeasley@example.com,0424 896 938,Theft,06/12/2025,Repudiandae id quas est est ducimus veritatis porro labore at assumenda inventore.,72371.7,,Open,02-28-2026,Jacqueline Anderson
CLM-515922,RAA-849747,Kristina Rivera,jenkinsmorgan@example.com,0435 177 706,Liability,15/05/2024,Voluptas nobis expedita neque distinctio omnis dolore.,62377.59,41892.14,Approved,07-09-2024,Ryan Richardson
CLM-693423,RAA-920652,Darrell Patterson,lynchdiane@example.net,0415 455 645,Storm Damage,12/11/2025,Adipisci earum quis ullam expedita delectus corporis omnis architecto qui voluptas.,49783.34,,Withdrawn,,Joseph Bennett
CLM-554582,RAA-479781,Jacob Griffith,wareeric@example.net,0491 948 570,Liability,17/03/2025,Perferendis earum optio laborum ipsam earum quidem.,11897.84,,Declined,04-06-2025,Jeffrey Campbell
CLM-912270,RAA-606983,Kelsey Parker,randallgreene@example.org,0469 546 945,Liability,07/09/2025,Error distinctio consequatur ducimus eveniet ab quia cupiditate fugit provident.,44639.36,14880.61,Open,11-21-2025,Sandra Drake
CLM-739979,RAA-800646,Patrick Graham,umorse@example.net,0458 444 129,Storm Damage,24/05/2024,Nemo quae in beatae accusantium eveniet reiciendis nulla rerum ullam at sapiente doloribus.,63895.99,,Under Assessment,08-11-2024,Kelly Foster
CLM-725113,RAA-835244,Connie Maxwell,dixondaniel@example.net,0445 669 110,Fire,25/11/2024,Temporibus expedita quas reprehenderit repellendus dolores corporis deserunt nobis quis.,71130.66,,Withdrawn,,Cassandra Mejia
CLM-599219,RAA-777278,Justin Riley,michelle52@example.com,0472 558 911,Property Damage,17/04/2025,Iusto occaecati recusandae nihil explicabo asperiores iure alias.,7432.47,41568.87,Approved,,Dustin Newman
CLM-546173,RAA-882169,Kirk Cruz,colelisa@example.net,0480 438 460,Liability,23/01/2026,Eum labore corrupti aperiam aut tempore exercitationem quaerat magnam cupiditate.,34304.02,13986.17,Withdrawn,03-15-2026,Jeffrey Gonzales
CLM-823688,RAA-294143,Helen Hardin,vortiz@example.net,0434 321 856,Storm Damage,10/05/2025,Amet occaecati ex ex nam harum dolorum sed vitae nobis corrupti aspernatur optio totam est omnis.,21099.22,45660.43,Declined,08-22-2025,Betty Fletcher
CLM-338533,RAA-478411,James Conner,elizabethcalderon@example.net,0432 409 114,Liability,03/06/2024,Atque perferendis magni accusantium est veritatis exercitationem quisquam deleniti voluptatum culpa eos ratione magni molestiae.,40293.06,58462.84,Declined,,Kelsey Stanley
CLM-614723,RAA-207570,Bonnie Bennett,henryschwartz@example.net,0411 687 391,Storm Damage,08/02/2026,Quam aliquam facilis quaerat voluptas nostrum quibusdam quos doloremque.,36164.21,57936.76,Approved,05-22-2026,Vincent Mueller
CLM-615633,RAA-177680,Holly Valentine,smurray@example.com,0483 744 802,Property Damage,02/03/2026,Minima vitae repellendus reiciendis consequuntur dolorum odit soluta mollitia aut sapiente sed eligendi quis.,11803.66,56957.71,Open,04-29-2026,Taylor Hernandez
CLM-725084,RAA-929151,Thomas Velasquez,sarah60@example.com,0489 331 894,Fire,04/03/2025,Fugiat harum aspernatur dolore eum aut quaerat excepturi corporis alias totam iusto rerum quis.,28838.16,17981.72,Declined,05-27-2025,Luis Bullock
CLM-876039,RAA-204053,Ruben Dunn,srodriguez@example.org,0436 740 316,Water Damage,13/04/2024,Commodi dolores odit numquam aperiam saepe libero modi odio nemo quaerat.,49701.9,,Under Assessment,07-07-2024,Aaron Gomez
CLM-722656,RAA-592738,Matthew Miller,carlos88@example.net,0447 133 337,Water Damage,16/06/2025,Mollitia hic iusto odio voluptatem ducimus accusamus ratione exercitationem quasi occaecati quo quasi ex.,53168.21,27351.07,Withdrawn,09-19-2025,Joshua Li
CLM-793300,RAA-942956,Melinda Pollard,zwelch@example.org,0435 535 217,Fire,12/08/2024,Quaerat velit alias dicta ratione suscipit et est.,17248.3,,Approved,11-02-2024,Robert Kennedy
CLM-422554,RAA-723948,Cheryl Kelly,glennmartin@example.org,0482 395 549,Property Damage,27/04/2024,Ipsa id ipsam vero excepturi deleniti porro facilis reiciendis eaque assumenda incidunt.,35418.0,24270.01,Approved,,Zachary White
CLM-526117,RAA-750810,Gabrielle Snyder,HUNTER35@EXAMPLE.COM,0429 342 985,Theft,17/07/2025,Eius nisi sunt nam maxime deleniti dolores illo nam dolores labore quae.,73227.35,52908.69,Under Assessment,11-12-2025,Alan Phillips
