claim_id,policy_number,claimant_name,claimant_email,claimant_phone,claim_type,claim_date,description,claimed_amount,assessed_amount,status,settlement_date,assessor
CLM-620856,RAA-973294,Teresa Richardson,jeffreyanderson@example.org,0446 894 918,Theft,29/06/2024,Quibusdam non impedit molestias iusto modi optio dolor dolorum quidem sit aspernatur ipsum provident.,45726.34,38269.75,Declined,10-09-2024,Justin Brown
CLM-979060,RAA-243423,Christina Herrera,markmeyer@example.org,0490 199 742,Liability,29/05/2025,Quaerat laborum tempore ipsum animi consequatur impedit natus nam perferendis.,3436.98,2195.2,Approved,08-31-2025,Alex Scott
CLM-883790,RAA-535686,Laura Williams,isabella80@example.org,0432 305 235,Motor Accident,01/04/2024,Adipisci illum quisquam quisquam voluptatem officia in voluptatibus fugit sit tenetur fugiat placeat optio.,40685.88,31944.97,Approved,,Martha Bailey
CLM-945664,RAA-409478,Jenna Anderson DVM,avilatiffany@example.com,0453 923 217,Storm Damage,15/08/2024,Incidunt fugit dolorem itaque culpa deleniti soluta quisquam adipisci optio nostrum vel suscipit dolores architecto.,72235.55,,Under Assessment,10-22-2024,Jill Powers
CLM-943671,RAA-684384,Patrick Morales,amberwebster@example.org,0456 192 909,Storm Damage,05/02/2026,Magnam enim repellendus quasi eum nisi perferendis eum error.,1536.94,27396.2,Withdrawn,05-31-2026,Matthew Walker
CLM-489518,RAA-213609,Justin Vargas,conniesimmons@example.com,0496 339 582,Property Damage,18/11/2024,Voluptas velit perferendis ratione eum impedit corrupti.,46656.24,19814.78,Declined,02-14-2025,Paul Wells
CLM-416869,RAA-780776,Scott Thomas,jmelendez@example.com,0462 219 243,Property Damage,18/01/2026,Nam consequatur doloribus dignissimos officia ullam sed at quam deleniti eaque perferendis nobis.,70996.48,29658.95,Open,04-24-2026,Chelsea Gill
CLM-803055,RAA-879238,Claire Clark,kevin03@example.org,0499 653 529,Fire,13/10/2025,Quia quidem totam possimus provident id dolores eum eligendi.,55799.04,,Paid,12-06-2025,Matthew Parker
CLM-134305,RAA-823811,Kathleen Garcia,ugill@example.org,0457 322 554,Storm Damage,03/01/2025,Est aliquid sint qui accusamus mollitia nesciunt quam eos deserunt dolorem necessitatibus.,71316.36,6141.41,Withdrawn,02-14-2025,Juan Harding
CLM-517479,RAA-389282,Roberto Levy,umurray@example.com,0434 225 968,Motor Accident,17/12/2024,Consequuntur molestias delectus suscipit voluptatibus vero minima saepe asperiores.,34376.44,38573.93,Declined,12-31-2024,Amber Smith
CLM-925206,RAA-692002,Crystal Mann,robinsonstephen@example.org,0436 170 949,Motor Accident,14/07/2024,Odit ut totam omnis accusamus minus illum accusantium quam modi enim magnam praesentium inventore velit debitis.,41788.48,48820.57,Under Assessment,08-06-2024,Kelly Allen
CLM-390743,RAA-251716,Robin Adams,zmiller@example.com,0426 653 356,Motor Accident,24/07/2025,Doloribus possimus error repudiandae aspernatur voluptatibus officiis adipisci illo fugiat labore odio praesentium assumenda sapiente.,13500.04,1741.65,Open,07-31-2025,Erin Madden
CLM-282710,RAA-378258,Tamara Hall,enelson@example.net,0416 229 859,Storm Damage,12/06/2024,Tempore natus adipisci ut et vero nesciunt quibusdam quae id aspernatur.,39693.37,28679.51,Approved,06-21-2024,David Davenport
CLM-145471,RAA-862569,Kimberly Reyes,krystalnorris@example.org,0494 633 408,Storm Damage,26/01/2025,Quia exercitationem atque doloremque asperiores non nostrum nisi voluptas eveniet odio quos iste dolorem.,48428.88,,Paid,04-21-2025,Jaime Lopez
CLM-847006,RAA-565108,Angelica Montgomery,jennifermiller@example.org,0419 182 429,Fire,28/06/2025,Quae odio qui et autem a est facere earum consequatur deleniti ipsum.,11550.87,,Declined,,Jennifer Johnson
CLM-656329,RAA-409222,Linda Mueller,asmith@example.com,0468 617 719,Storm Damage,29/12/2024,Quam nam voluptatibus doloribus maxime placeat cumque eaque.,7888.8,51197.01,Withdrawn,03-22-2025,Charles Jackson
CLM-573489,RAA-339592,John Jones,sheryl79@example.net,0462 447 947,Storm Damage,30/10/2024,Itaque consequatur ab id sapiente fugit similique ipsam inventore reprehenderit.,30205.4,18890.39,Approved,12-31-2024,Linda Evans
CLM-597305,RAA-170394,Christina Edwards,snovak@example.net,0421 951 187,Property Damage,11/07/2025,Voluptas quos eveniet eligendi ratione facilis ut dicta voluptatum debitis quisquam ad quas velit.,32674.8,22484.28,Under Assessment,,Robert Guerra
CLM-802559,RAA-228168,Rebecca Ortiz,ttaylor@example.org,0462 462 994,Liability,22/05/2024,Omnis quaerat ratione asperiores voluptatibus laboriosam id magni ullam porro molestiae.,70614.18,54967.45,Open,07-10-2024,Heather Woodard
CLM-632060,RAA-323072,Suzanne Rodriguez,dianekelly@example.net,0429 772 593,Theft,21/05/2025,Aliquid voluptates perspiciatis id quibusdam vitae inventore ab ea magni maxime neque nemo ipsum hic quo.,63621.98,33464.68,Open,08-09-2025,Kathryn Cooper
CLM-127121,RAA-195763,Bobby Guerrero,SEAN62@EXAMPLE.NET,0439 790 956,Motor Accident,13/11/2024,Expedita aliquam sit explicabo voluptatum earum voluptatem veniam asperiores odit facilis reiciendis perspiciatis.,43352.33,59974.43,Under Assessment,12-22-2024,Brenda Lawson
